filename,umap_x,umap_y,cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_Hoechst.png,15.191613,1.3123266,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_TRITC_Day0.png,-5.22047,3.691426,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_TRITC_Day1.png,-3.1094456,7.6755557,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site2_TRITC_Day2.png,-2.6683955,8.280854,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_FITC_Day0.png,-3.5442054,7.51965,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_FITC_Day1.png,-6.6840844,3.6824327,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_FITC_Day2.png,-4.6057043,5.8336496,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_Hoechst.png,16.980103,5.759944,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_TRITC_Day0.png,-5.3180213,5.375789,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_TRITC_Day1.png,-3.2859967,7.815068,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site3_TRITC_Day2.png,-3.197167,7.8630695,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_FITC_Day0.png,-3.2126703,8.181655,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_FITC_Day1.png,-6.5513277,2.9741125,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_FITC_Day2.png,-5.908603,5.1078277,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_Hoechst.png,16.597363,5.1526995,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_TRITC_Day0.png,-5.0811214,3.4270227,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_TRITC_Day1.png,-3.8556774,6.825677,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site4_TRITC_Day2.png,-4.0794597,6.548637,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_FITC_Day0.png,-3.3516932,7.4744973,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_FITC_Day1.png,-5.532545,3.224975,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_FITC_Day2.png,-6.633121,4.8931985,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_Hoechst.png,14.319224,-0.4807036,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_TRITC_Day0.png,-4.498351,-2.324232,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_TRITC_Day1.png,-3.8876286,7.319651,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site1_TRITC_Day2.png,-2.904983,7.214228,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_FITC_Day0.png,-3.0401418,8.201834,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_FITC_Day1.png,-5.534158,2.7974334,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_FITC_Day2.png,-6.7915144,4.4985504,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_Hoechst.png,14.151913,-0.7372712,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_TRITC_Day0.png,-5.0862856,3.7556338,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_TRITC_Day1.png,-4.0792985,6.6642003,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site2_TRITC_Day2.png,-3.8976822,6.1024814,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_FITC_Day0.png,-3.466696,6.806647,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_FITC_Day1.png,-7.504742,2.489673,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_FITC_Day2.png,-5.781134,4.7175183,1
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_Hoechst.png,16.396338,4.613556,0
NCI Images/breast/bt549/nybd1/NYBD1-A3_500nM_BT549_site3_TRITC_Day0.png,-5.6681232,-1.814681,1
