filename,umap_x,umap_y,final_cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site4_FITC_Day1.png,8.436755,-3.1267068,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site4_FITC_Day2.png,-1.8176459,-2.277672,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site4_TRITC_Day0.png,10.656488,-2.6941729,0
NCI Images/breast/bt549/nybd1/NYBD1-A4_500nM_BT549_site4_TRITC_Day1.png,7.8001122,-2.325077,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site1_FITC_Day1.png,13.014365,-2.6994188,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site1_FITC_Day2.png,2.0700243,-4.5796056,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site1_TRITC_Day1.png,12.92962,-2.7954907,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site1_TRITC_Day2.png,4.503106,-5.064748,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site2_FITC_Day0.png,9.770608,-2.6481087,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site2_FITC_Day1.png,13.130994,-2.661926,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site2_FITC_Day2.png,-2.074326,-2.3449152,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site2_TRITC_Day0.png,9.938332,-2.878989,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site2_TRITC_Day1.png,13.0311365,-2.7325418,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site2_TRITC_Day2.png,-0.053962734,-3.8607566,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site3_FITC_Day0.png,1.3426117,-1.7449315,-1
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site3_FITC_Day1.png,10.028071,-3.6701963,-1
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site3_FITC_Day2.png,3.6202223,-4.38616,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site3_TRITC_Day0.png,2.7740347,-2.8341713,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site3_TRITC_Day1.png,12.394452,-3.016984,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site3_TRITC_Day2.png,4.939187,-4.811657,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_FITC_Day0.png,6.615769,-3.2902055,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_FITC_Day1.png,12.169989,-3.06607,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_FITC_Day2.png,9.876236,-4.2912855,1
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_TRITC_Day0.png,6.7154307,-3.3645334,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_TRITC_Day1.png,12.282088,-3.0439863,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_TRITC_Day2.png,10.254997,-4.098945,1
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_FITC_Day0.png,10.778675,-3.0466504,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_FITC_Day1.png,9.196995,-2.7273173,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_FITC_Day2.png,5.6183686,-3.34795,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_TRITC_Day0.png,10.917533,-3.1546245,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_TRITC_Day1.png,9.74256,-2.9625187,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_TRITC_Day2.png,7.6103454,-3.730766,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_FITC_Day0.png,13.020227,-2.6139822,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_FITC_Day1.png,9.389505,-2.9095507,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_FITC_Day2.png,1.9735857,-4.3425255,0
