file_path,mean_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_Hoechst.png,7.12
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day0.png,81.72
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day1.png,74.76
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_TRITC_Day2.png,68.11
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day0.png,30.58
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day1.png,41.63
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day2.png,62.27
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_Hoechst.png,8.85
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day0.png,75.47
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day1.png,102.18
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_TRITC_Day2.png,113.06
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day0.png,24.43
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day1.png,48.19
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day2.png,42.65
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_Hoechst.png,10.62
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day0.png,61.09
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day1.png,84.03
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_TRITC_Day2.png,106.13
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day0.png,11.35
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day1.png,17.39
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day2.png,44.34
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_Hoechst.png,6.61
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day0.png,22.62
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day1.png,35.05
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day2.png,22.04
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day0.png,16.37
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day1.png,13.97
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day2.png,66.81
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_Hoechst.png,9.83
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day0.png,30.4
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day1.png,25.07
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day2.png,36.94
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day0.png,13.95
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day1.png,18.14
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day2.png,49.51
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_Hoechst.png,9.78
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day0.png,27.25
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day1.png,31.42
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day2.png,26.03
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day0.png,18.53
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day1.png,23.72
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day2.png,44.64
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_Hoechst.png,9.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day0.png,29.18
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day1.png,35.41
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day2.png,28.64
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day0.png,10.26
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day1.png,7.42
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_FITC_Day2.png,22.9
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_Hoechst.png,8.48
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day0.png,14.41
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day1.png,13.72
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site1_TRITC_Day2.png,15.27
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day0.png,8.7
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day1.png,14.89
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_FITC_Day2.png,13.75
